gk,peng,daerah_PERDESAAN,daerah_PERDESAANPERKOTAAN,daerah_PERKOTAAN,selisih_upah_ump,Cluster
12.590307307493795,13.052704569945517,0,0,1,-5.13128809999354,0
12.618609357471307,13.052704569945517,0,0,1,-5.13128809999354,0
12.632137448812417,13.215587747054652,0,0,1,-5.046337542299881,0
12.675354139098694,13.215587747054652,0,0,1,-5.046337542299881,0
12.603102274817237,12.886987819192788,1,0,0,-5.13128809999354,1
12.633749242003557,12.886987819192788,1,0,0,-5.13128809999354,1
12.66254133939773,12.929390091835183,1,0,0,-5.046337542299881,1
12.691134207909482,12.929390091835183,1,0,0,-5.046337542299881,1
12.599488788859341,12.936888855234969,0,1,0,-5.13128809999354,2
12.629472624691372,12.936888855234969,0,1,0,-5.13128809999354,2
12.653325681494746,13.02133347110695,0,1,0,-5.046337542299881,2
12.687105849768226,13.02133347110695,0,1,0,-5.046337542299881,2
12.707314491254305,13.322415154103043,0,0,1,-5.128743782576505,0
12.759417382894814,13.322415154103043,0,0,1,-5.128743782576505,0
12.770755573798615,13.365204452452316,0,0,1,-5.275252463987343,0
12.794745029178722,13.365204452452316,0,0,1,-5.275252463987343,0
12.710682994428867,13.110596417479304,1,0,0,-5.128743782576505,1
12.754399235300886,13.110596417479304,1,0,0,-5.128743782576505,1
12.776814875823034,13.135589525024976,1,0,0,-5.275252463987343,1
12.80068043800044,13.135589525024976,1,0,0,-5.275252463987343,1
12.709749779617555,13.17904990214435,0,1,0,-5.128743782576505,2
12.755791044068147,13.17904990214435,0,1,0,-5.128743782576505,2
12.775050189445238,13.213426368841306,0,1,0,-5.275252463987343,2
12.79894634948085,13.213426368841306,0,1,0,-5.275252463987343,2
12.805021777638403,13.368319922272764,0,0,1,-5.265805625769955,0
12.841646326113839,13.368319922272764,0,0,1,-5.265805625769955,0
12.89427512116158,13.392730914689977,0,0,1,-5.164006506839904,0
12.897981559754703,13.392730914689977,0,0,1,-5.164006506839904,0
12.82833319829237,13.163044562011333,1,0,0,-5.265805625769955,1
12.867130424581505,13.163044562011333,1,0,0,-5.265805625769955,1
12.890723837168855,13.248022867745822,1,0,0,-5.164006506839904,1
12.893747379531629,13.248022867745822,1,0,0,-5.164006506839904,1
12.821512306408195,13.23444128080968,0,1,0,-5.265805625769955,2
12.859392128759207,13.23444128080968,0,1,0,-5.265805625769955,2
12.89177467964046,13.297383342336762,0,1,0,-5.164006506839904,2
12.895003449654844,13.297383342336762,0,1,0,-5.164006506839904,2
12.943351537450027,13.506811841596257,0,0,1,-5.224472301491035,0
12.962492702887682,13.506811841596257,0,0,1,-5.224472301491035,0
13.013728618368326,13.509220424437894,0,0,1,-5.240599388730313,0
13.084198266906471,13.509220424437894,0,0,1,-5.240599388730313,0
12.916366969924605,13.301247365857975,1,0,0,-5.224472301491035,1
12.93540468569977,13.301247365857975,1,0,0,-5.224472301491035,1
12.981041719304743,13.359121034792636,1,0,0,-5.240599388730313,1
13.043620990613702,13.359121034792636,1,0,0,-5.240599388730313,1
12.924938741120222,13.374820263942315,0,1,0,-5.224472301491035,2
12.943946985518366,13.374820263942315,0,1,0,-5.224472301491035,2
12.991477624842915,13.412763253280287,0,1,0,-5.240599388730313,2
13.056770433892153,13.412763253280287,0,1,0,-5.240599388730313,2
11.667516048025872,13.18053039354504,0,0,1,-5.13128809999354,0
11.68010800292138,13.18053039354504,0,0,1,-5.13128809999354,0
11.709544326465007,13.234786295485163,0,0,1,-5.046337542299881,0
11.741812490911505,13.234786295485163,0,0,1,-5.046337542299881,0
11.34615043227753,12.784023595748312,1,0,0,-5.13128809999354,1
11.381483316924978,12.784023595748312,1,0,0,-5.13128809999354,1
11.388370803520464,12.784023595748312,1,0,0,-5.046337542299881,1
11.418318038177151,12.784023595748312,1,0,0,-5.046337542299881,1
11.448333609077052,12.784023595748312,0,1,0,-5.13128809999354,2
11.475690778360002,12.784023595748312,0,1,0,-5.13128809999354,2
11.494313328758247,12.784023595748312,0,1,0,-5.046337542299881,2
11.525031885631938,12.784023595748312,0,1,0,-5.046337542299881,2
11.758683373235854,13.264097287216499,0,0,1,-5.128743782576505,0
11.791026788265112,13.264097287216499,0,0,1,-5.128743782576505,0
11.809780338354344,13.359591276991809,0,0,1,-5.275252463987343,0
